course_name,job_recs,product_urls
Gamification,"Instructional Designers,User Experience Researchers,Designers,Psychiatrists,UI/UX Designers",https://www.coursera.org/learn/gamification
Cybersecurity Compliance Framework System Administration,Software Engineers,https://www.coursera.org/learn/cybersecurity-compliance-framework-system-administration
Music and Social Action,"Musicians,Artists,Filmmakers,Teachers,Founders",https://www.coursera.org/learn/music-and-social-action
FinTech Foundations and Overview,"Chief Financial Officers (CFOs),Risk Managers,Financial Advisors,Financial Analysts,Lawyers",https://www.coursera.org/learn/fintech
Municipal Solid Waste Management in Developing Countries,"Biologists,Entrepreneurs,Community Managers,Technical Solutions Engineers,Engineers",https://www.coursera.org/learn/solid-waste-management
Getting Started With Application Development,"Technical Leads,Technical Solutions Engineers,Software Engineers,Chief Technology Officers (CTOs),Consultants",https://www.coursera.org/learn/getting-started-app-development
Accounting Analytics,"Controllers,Chief Financial Officers (CFOs),Accountants,Financial Analysts,Auditors",https://www.coursera.org/learn/accounting-analytics
Çok değişkenli Fonksiyon II Uygulamalar Multivariable Calculus II Applications,,https://www.coursera.org/learn/calculus-diferansiyel-hesap
工程圖學 2D CAD,"Engineers,Project Managers",https://www.coursera.org/learn/2d-cad
Code Free Data Science,"IT Managers,Data Analysts,Economists,Data Scientists,Business Analysts",https://www.coursera.org/learn/code-free-data-science
Bridging healthcare and society,Consultants,https://www.coursera.org/learn/healthcare-and-society
Successful Presentation,"Artists,Program Managers,Pharmacists,Business Developers,Economists",https://www.coursera.org/learn/presentation-skills
史記 Shi Ji,"Writers,Machine Learning Engineers,Data Scientists,Data Engineers,Teachers",https://www.coursera.org/learn/shiji
From Climate Science to Action,"Data Analysts,Researchers,Consultants,Professors,Engineers",https://www.coursera.org/learn/climate-science
剪辑 像编剧一样剪辑,,https://www.coursera.org/learn/jian-ji
Астрофизика от звезд до границ Вселенной,"Lawyers,Financial Analysts,Data Scientists,Data Analysts,Project Managers",https://www.coursera.org/learn/astrofizika
Transmedia Writing,"Writers,Artists,Journalists,Editors,Customer Care Reps",https://www.coursera.org/learn/transmedia-writing
The Kennedy Half Century,"Teachers,Professors,Chief Executive Officers (CEOs),Engineers",https://www.coursera.org/learn/kennedy
Introduction to Cybersecurity Tools Cyber Attacks,"Security Engineers,Technical Solutions Engineers,Technical Support Associates,Machine Learning Engineers,Operations Analysts",https://www.coursera.org/learn/introduction-cybersecurity-cyber-attacks
Causal Inference,"Data Scientists,Biostatisticians,Researchers,Scientists,Economists",https://www.coursera.org/learn/causal-inference
AWS Fundamentals Building Serverless Applications,"Technical Leads,IT Managers,Technical Solutions Engineers,Security Engineers,Biostatisticians",https://www.coursera.org/learn/aws-fundamentals-building-serverless-applications
Security and Privacy in TOR Network,"Data Scientists,Software Engineers,Engineers",https://www.coursera.org/learn/security-and-privacy-in-tor-network
Silicon Thin Film Solar Cells,Teachers,https://www.coursera.org/learn/silicon-thin-film-solar-cells
Recovering the Humankind s Past and Saving the Universal Heritage,"Professors,Teachers,Administrators",https://www.coursera.org/learn/preserving-cultural-heritage
Data for Machine Learning,Data Scientists,https://www.coursera.org/learn/data-for-machine-learning
Cloud Networking,"Technical Solutions Engineers,Security Engineers,Technical Support Associates,Software Engineers,Machine Learning Engineers",https://www.coursera.org/learn/cloud-networking
Corporate Sustainability Understanding and Seizing the Strategic Opportunity,"Business Developers,Public Relations Specialists,Program Managers,Consultants,Economists",https://www.coursera.org/learn/corp-sustainability
软件工程,"Product Managers,Software Engineers,Data Scientists",https://www.coursera.org/learn/ruanjian-gongcheng
Social Impact Strategy Tools for Entrepreneurs and Innovators,"Entrepreneurs,Public Relations Specialists,Chief Operations Officers (COOs),Executive Directors,Social Workers",https://www.coursera.org/learn/social-impact
Learning How to Learn Powerful mental tools to help you master tough subjects,"Psychiatrists,Pharmacists,Chief Financial Officers (CFOs),Translators,Customer Care Reps",https://www.coursera.org/learn/learning-how-to-learn
Networks and Communications Security,"Customer Care Reps,Technical Support Associates,Engineers,Software Engineers",https://www.coursera.org/learn/network-security-communications-sscp
Intro to TensorFlow 日本語版,,https://www.coursera.org/learn/intro-tensorflow-jp
Transistor Field Effect Transistor and Bipolar Junction Transistor,"Scientists,Engineers,Machine Learning Engineers,Research Assistants,Researchers",https://www.coursera.org/learn/transistor-field-effect-transistor-bipolar-junction-transistor
How To Land the Job You Want Capstone Project,,https://www.coursera.org/learn/job-interview-capstone
Guitar Scales and Chord Progressions,"Musicians,Paramedics,Copywriters,Systems Engineers,IT Managers",https://www.coursera.org/learn/guitar-scales-chord-progressions
Health Care IT Challenges and Opportunities,"Pharmacists,Medical Doctors,Customer Service Agents,Nurses,Technical Support Associates",https://www.coursera.org/learn/healthcare-it
Overview of Advanced Methods of Reinforcement Learning in Finance,"Traders,Risk Managers,Data Scientists,Machine Learning Engineers,Financial Analysts",https://www.coursera.org/learn/advanced-methods-reinforcement-learning-finance
