areas,audio,category,course_title,dct_price,discount,length,level,new_course_date,number_students,positive_reviews_share,price,reviews,software,subtitles,summary,teacher,teacher_links
,"Spanish
",NA,Introduction to Procreate,US$ 9.90,78% Disc.,"4h 49m
",NA,No new course,1811,80,US$ 44.90,5,,"Spanish
",[],Román García Mora,"https://www.domestika.org/en/login.js?scope=courses&target=636-introduction-to-procreate,https://domestika.org/romangm,https://instagram.com/romangarciamora,https://www.pinterest.com/romangm,https://www.linkedin.com/in/rom%C3%A1n-garc%C3%ADa-mora-5703876a/,http://romangm.com/"
"Comic,Digital illustration,Graphic Humor,Illustration,","Spanish
",Illustration,Introduction to Digital Comic,US$ 19.90,56% Disc.,"3h 55m
",Beginner,No new course,336,100,US$ 44.90,13,"Adobe Photoshop,","Spanish
","['\nYou will meet Albert Monteys, who will review you for his career since he published himself comic books until he passed through El Jueves (comic book magazine) and how he ventured into the digital comic. Also, it will show you the main authors and works that have influenced him to venture to try digital formats for his comics. \n\n What is the digital comic? What are the differences with traditional paper comic? Albert will give you the answers to these questions through examples, and then explain what you need to know about color and possibilities in terms of digital media narrative. \n\n Making a digital comic does not imply that you have to put aside ink and paper. Albert will show you the analog materials you need to draw, among papers, pencils, markers, brushes, inks and watercolors. It will also explain the materials for working in digital and Adobe Photoshop tools for comic artists. \n\n You will choose the format in which you are going to publish your comic: Instagram, downloadable PDF, multiple platforms? Albert will advise you to make the right decision according to your story. \n\n Next, you will see different ways to approach the writing, you will design the characters of the cartoon and you will raise in depth the narrative of the comic so that the potencies. \n\n  \n\n Albert will teach you to design the performance and expressiveness of your characters, why an expression is worth more than a text balloon, and you will understand the drawing as another type of writing. Then, he will explain how you should digitize the comic and work it in Photoshop. \n\n Finally, you will leave your comic ready for the screen and see in detail (from Albert\'s personal experience) how you can promote it on networks and take advantage of your comic. \n', '\nBased on your story, you will create, publish and promote on the internet a short comic (between a strip and four pages, you decide) for the world to know. \n']",Albert Monteys Homar,"https://www.domestika.org/en/login.js?scope=courses&target=555-introduction-to-digital-comic,https://domestika.org/albertmonteys,https://facebook.com/Albert Monteys,https://twitter.com/AlbertMonteys"
"Illustration,Pencil drawing,","Spanish
",Illustration,Commercial Illustration with Colored Pencils,US$ 19.90,56% Disc.,"3h 35m
",Beginner,No new course,271,100,US$ 44.90,14,,"Spanish
","['\nFirst, you will enter the work of Carmen García Huerta, you will see her career, evolution and her work with clients of all kinds with illustrations for the press, fashion brands, jewelry, consumer products, institutions, among others. \n\n Then you will know the influences that have marked and inspired it, both for commercial and other more personal works that vary from furniture designers to referents of the history of classical and current art. \n\n Carmen will give you an introduction to the two focus of the course. First to the commercial illustration, what it is and its great references of this professional aspect. Then to the materials, colored pencils and graphite: how to use them and essential techniques to familiarize yourself with the material, the wrist movement, among other details. \n\n After some basic exercises to color with pencils, you will receive a simulated brief from a client, requesting an illustration assignment for a chain of stores (or department stores). You will study the information provided in the briefing and depending on it you will make a moodboard or reference board that will serve as an inspiration. \n\n  \n\n Then, you will make the sketch online, you will send it for feedback and once approved (with its possible modifications), you will start drawing in detail. \n\n The drawing phase will be done in two stages: first you will go from the sketch to the detailed drawing of all the elements of the illustration. You will learn different techniques that Carmen uses for her work and then move on to the next phase: digitizing and assembling the final composition in Adobe Photoshop with the latest color touches. \n\n Finally, you will prepare the final illustration and adapt it to the different formats of the final art. \n', '\nYou will make an illustration with colored pencils based on a detailed brief of a client.\n']",Carmen García Huerta,"https://www.domestika.org/en/login.js?scope=courses&target=517-commercial-illustration-with-colored-pencils,https://domestika.org/carmen_garcia_huerta,https://facebook.com/carmengarciahuertaillustration,https://instagram.com/carmen_garcia_huerta,https://www.linkedin.com/in/carmen-garc%C3%ADa-huerta-b7627760/"
"Drawing,Fine Art,Illustration,Painting,Watercolor painting,","Spanish
",Illustration,"Botanic Animal House: Watercolour, Ink and Graphite",NA,73% Disc.,"5h 0m
",Beginner,No new course,1466,96,US$ 44.90,89,"Adobe Photoshop,","Spanish
","['\nYou will start knowing Violeta\'s work and she will tell you about her influences. In addition, it will tell you what are the materials you will need to make your illustrations, teach you how to use them and give you some recommendations. \n\n To familiarize yourself with the technique, you will perform a series of drawing exercises with graphite, stylus and pen. You will also learn to apply watercolor correctly and combine it with other techniques. \n\n Once you have mastered the tools, you will begin to look for photographic references of flora and fauna for your illustration. Initially, you will base yourself on those references for your drawings, but once you have taken hold, you can draw them from your own imagination to give them a plus of fantasy. \n\n Next, Violeta will explain the techniques she uses to draw the female figure and how to refine the lines to obtain the desired result. \n\n You will create a composition with the three elements: animals, nature and women, and Violeta will give you some advice to do so harmoniously. Once you are satisfied with your sketch, you will apply color with watercolor. \n\n When you have finished your illustration, Violeta will explain how to digitize it, clean it and make small adjustments so that you can use it in all kinds of projects. \n\n \n', '\nYou will make an illustration with watercolor including three fundamental elements: nature, animals and the female figure.\n']",Violeta Hernández,"https://www.domestika.org/en/login.js?scope=courses&target=342-botanic-animal-house-watercolour-ink-and-graphite,https://domestika.org/soyvioleta,https://facebook.com/Violeta-Hernández-208237879208133,https://www.pinterest.com/violettie,http://www.soyvioleta.com/"
"Pattern Design,Printing,Textile illustration,","Spanish
",Illustration,Print Design with the Quincunx Technique,US$ 19.90,56% Disc.,"1h 46m
",Beginner,No new course,385,95,US$ 44.90,19,,"Spanish
","['\nYou will start the course knowing Mónica Muñoz, who will tell you how she came to the world of printing, by a mixture of vocation and chance. You will see some of his most representative works and the influences that have motivated him the most to specialize and experiment in this art. \n\n Mónica will explain what is the quincunx and the different types of rapports that exist. You will know the materials you will need to work on your detailed prints and the Adobe Photoshop tools that you will use. \n\n You will discover pages and designers that will inspire you to then make a moodboard or inspiration panel, where you will analyze the color, choose a color palette and focus your illustration based on it. \n\n You will create the sketch of your pattern with a pencil to have a rough approximation of the illustration, and then start making composition decisions and start coloring. \n\n You will digitize your illustration or illustrations, to start working with each element in Photoshop, you will edit it until you achieve the color and effect you want for later, through several steps that you will follow in the hand of Mónica, get a rapport in quincunx. \n\n To finish, you will check that everything is perfect and you will create the repetition with the instructions to save and export the project. You will learn to make a quality mockup to show it in a professional way and, finally, Monica will give you some tips to promote your print in digital media.\n', '\nYou will create a pattern that you can apply to any surface or support, whether for clothing, stationery or wallpaper with all your creativity. \n\n \n']",Mónica Muñoz Hernández,"https://www.domestika.org/en/login.js?scope=courses&target=504-print-design-with-the-quincunx-technique,https://domestika.org/moniquilla,https://facebook.com/moniquilla ,https://twitter.com/moniquillatuit,https://instagram.com/masmoniquilla,https://www.pinterest.com/moniquilla,http://moniquilla.com/"
"Fashion Design,Printing,Textile illustration,","Spanish
",Illustration,Textile Prints with Digital Techniques,NA,67% Disc.,"2h 2m
",Beginner,No new course,605,100,US$ 44.90,35,"Adobe Photoshop,","Spanish
","['\nYou will begin by getting to know Ricardo, who will explain to you a trend that is present in all his textile work: maximalism, and how he found it through his interest in the human body, flora and fauna and collages. \n\n You will know his style of illustration, which mixes photography, color pencil and digital retouching, and also, you will discover some of the fashion brands with which he has collaborated in the creation of textile prints. \n\n You will start the elaboration of your print creating a moodboard with stock images. You will choose the photographs that you will use for your print and you will cut them in Photoshop, to then edit them with filters, brushes, colors and deformations. In addition, you will learn to identify the value of each of the design elements that will make up your illustration. \n\n Next, you will create your composition with the worked images to create a pattern, and you will adjust color details. You will experiment with fund options and print your illustration in different sizes, to make sure that the selected one works for the print on the fabric. \n\n Finally, you will learn about the technique of sublimation, its characteristics and particularities.\n', '\nYou will create an illustration with different backgrounds to generate two prints with different structural lines. One of them you will apply in one tote bag and the other in a scarf. \n \n']",Ricardo Luévanos,"https://www.domestika.org/en/login.js?scope=courses&target=525-textile-prints-with-digital-techniques,https://domestika.org/ricardoluevanos,https://instagram.com/ricardoluevanos"
"Drawing,Illustration,Vector Illustration,","Spanish
",Illustration,Vectorial Illustration with Style,US$ 14.90,67% Disc.,"2h 7m
",Beginner,No new course,1552,97,US$ 44.90,111,"Adobe Illustrator,","Spanish
","['\nYou will start by getting to know the work of Ely Ely, who will tell you about her professional career and how she came to acquire the style that defines her illustrations today. You will also discover the work of other artists and illustrators and study the different styles and the importance of creating your own. \n\n Next you will create a mental library of references and perform a series of exercises that will help you to define your style of drawing. \n\n Then you will work on conceptualization from a story; From these concepts will emerge the sketches of the illustrations that you will make as a final project. \n\n Ely Ely will show you her technique to vectorize illustrations with Illustrator, share your drawing process and show you how to apply color. \n\n Once you have finished your illustrations, you will see how to adapt them to different formats to publish them on social networks. \n\n Later, through her own experience, Ely Ely will teach you how to organize the harmony of her feed, as well as her method for programming the posts and labeling them for greater reach. \n\n \n', '\nYou will develop and capture your style of drawing in a series of three illustrations, which you will adapt to the different formats so that they look perfect on social networks.\n']",Ely Ely Ilustra,"https://www.domestika.org/en/login.js?scope=courses&target=408-vectorial-illustration-with-style,https://domestika.org/elyelyilustra,https://facebook.com/ElyElyIlustra,https://twitter.com/elyelyilustra,https://instagram.com/elyelyilustra"
"Character Design,Design,Digital illustration,","Spanish
",Illustration,Advanced Techniques for Vectorial Illustration,US$ 9.90,78% Disc.,"3h 40m
",Advanced,No new course,3093,99,US$ 44.90,200,"Adobe Illustrator,,,Adobe Photoshop,","Spanish
","['\nYou will begin by getting to know Rafahu\'s work and artistic influences such as comics, horror literature or B-series films. \n\n Next, you will discover the advanced tools of Illustrator such as brushes that emulate ink or engraving (and that can save you a lot of time when making a complex illustration) or how to combine brushes with the blend object. \n\n You will create the first sketches of your mecha-kaiju (a fantastic creature half monster half robot) using 3D objects, brushes and blends. \n\n Later you will learn to master lighting and color making good use of the gradient, generating custom textures and creating a fictitious lighting set to illuminate the scene. \n\n At this point, it will be time to add volume, texture and special effects to your mecha-kaiju. \n\n Finally, you will add some final details with Photoshop and you will have a terrifying mecha-kaiju ready to fight. \n\n \n', '\nIt will consist of designing a giant wick-kaiju, that is, a fantastic creature mixed between a monster and a robot used to fight. \n\n \n']",Rafahu,"https://www.domestika.org/en/login.js?scope=courses&target=150-advanced-techniques-for-vectorial-illustration,https://domestika.org/rafahumx,https://facebook.com/Rafahu,https://twitter.com/rafahu,https://instagram.com/rafahu,https://www.pinterest.com/rafahu,https://www.linkedin.com/in/rafahu"
"Character Design,Pixel Art,Video game,","Spanish
",3D & Animation,Introduction to Character Design in Pixel Art,NA,67% Disc.,"2h 18m
",Beginner,No new course,448,100,US$ 44.90,20,,"Spanish
","['\nYou will begin by getting to know Daniel, who will tell you about his professional career, his experience creating Fourattic and some of his outstanding projects. It will highlight some of the artists pixel art and other disciplines that have most influenced him. \n\n You will take a tour of the programs available in the market for the creation of pixel art and its pros and cons. Daniel recommends Pyxel Edit and it is the program that he will use throughout the course. \n\n You will enter the program fully, discovering the different modules of its interface, tools, color palettes and layers. \n\n Once familiar with Pyxel Edit, you will start to create your project. You will make your first strokes, drawing the silhouette of your character focusing on its readability. \n\n Daniel will explain a theory of basic color, reviewing the color palettes available in Pyxel Edit and explaining two coloring techniques: group of pixels and dithering . \n\n You will know the correct way to make straight lines, curves and diagonals in pixel art and, in addition, Daniel will comment on the use of contour in video games and how to adapt your creation, or not, to the concepts of pixel perfect and anti-aliasing . \n\n You will discover some of the most important lighting and shading techniques and their use in videogames, making use of brightness and color, to then make a general review and add some details to the final design. \n\n Before exporting your design, you will create the background of your scene to give a place to inhabit your character. \n\n Finally, Daniel will explain how to export your character with transparencies and background, both jointly and separately. You will know the different formats and scales available and their particularities before obtaining your final design ready to be used in a videogame or wherever you want. \n', '\nYou will design a complete character with some accessories and a background environment in pixel art . \n \n']",Daniel Benítez,"https://www.domestika.org/en/login.js?scope=courses&target=564-introduction-to-character-design-in-pixel-art,https://domestika.org/dabntz,https://facebook.com/dabntzart,https://twitter.com/dabntz,https://instagram.com/dabntz,https://www.pinterest.com/dabntz,https://www.linkedin.com/in/dabntz/,https://github.com/dabntz"
"Film, Video & TV,Interactive Design,Photography,Post-production,TV,Video,","Spanish
",Illustration,Creation and Integration of a Matte Painting,US$ 34.90,22% Disc.,"2h 53m
",Advanced,No new course,393,83,US$ 44.90,23,"Adobe Photoshop,,,Adobe Premiere,","Spanish
","['\nYou\'ll start getting to know User t38 better and the influences of Sergio and Joaquín. \n\n Then you will discover how to create a Matte Painting with Photoshop. For this, the first thing you should do is analyze the angle of view of the shot with Chroma for which you have to create the background and the narrative objective with which it has been made. In this way you will know what kind of visual references to look for when selecting the different elements that will make up the scene. \n\n Next you will create the first sketches of funds and you will discover how they behave. \n\n When integrating the Matte Painting on the map, Sergio and Joaquín will give you the keys on how to clean a Chroma, the color and tips on how to add effects that were not filmed at the filming. \n\n When you have achieved the definitive setting you were looking for, through adjustments and effects of lighting and general color retouching, you will achieve that there is no difference between the actual rolled image and the recreation of the background, in this way the retouching will go completely unnoticed in the scene in the that is integrated and the viewer will not notice this retouching.\n', '\nThe challenge will be to make and integrate a Matte Painting into a shot of the series ""The Ministry of Time,"" a fictional television series whose plot revolves around time travel. \n\n \n']",USER T38,"https://www.domestika.org/en/login.js?scope=courses&target=81-creation-and-integration-of-a-matte-painting,https://domestika.org/usert38,https://facebook.com/USER-T38-180945036537/timeline/,https://twitter.com/USER_T38,https://www.linkedin.com/company/user-t38,http://www.usert38.com/"
